id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
6394584,Sky Palace in Classic 3 Story House,22705731,Shira,,Oud-Noord,52.38507,4.91319,Private room,60,1,0,,,2,0
6394814,Home with garden in Amsterdam,23713439,Ikenna,,De Baarsjes - Oud-West,52.37124,4.86762,Entire home/apt,99,14,6,03-08-2015,0.1,1,0
6396927,2 story apartement in the famous Jordaan,22670256,Lauretta,,Centrum-West,52.37755,4.88121,Entire home/apt,581,2,9,05-07-2019,0.69,1,0
6407747,"A spacious, light family house",33420258,Claudia,,Bos en Lommer,52.37488,4.84884,Entire home/apt,200,3,17,29-06-2019,0.28,1,0
6408297,Kids Friendly • Trendy Amsterdam de Pijp • garden,17414355,Marloes,,De Pijp - Rivierenbuurt,52.35799,4.89575,Entire home/apt,265,4,13,10-08-2019,0.21,1,0
6412731,Great family apartment with terrace (2 adults max),17057815,Anne,,Centrum-Oost,52.35944,4.89843,Entire home/apt,250,4,6,16-08-2019,0.12,1,22
6417023,Amsterdam Countryside. Family house,18590000,Sander,,Noord-Oost,52.40758,4.9647,Entire home/apt,75,5,3,15-08-2015,0.05,1,0
6418164,Cosy sunny apartment Amsterdam,5070249,Nina,,Oostelijk Havengebied - Indische Buurt,52.37591,4.94377,Entire home/apt,85,3,24,30-12-2019,0.51,1,0
6418802,City centre luxurious apartment,3680752,Jessica,,Centrum-Oost,52.36373,4.88709,Entire home/apt,300,3,16,07-04-2018,0.27,1,0
6419068,Your apartment in Amsterdam (your own space),32470355,Eric,,Gaasperdam - Driemond,52.29178,4.96722,Entire home/apt,109,2,163,20-02-2020,2.65,1,0
6419911,Sunny garden apartment,15337740,Ewoud,,Watergraafsmeer,52.3499,4.94238,Entire home/apt,173,4,3,30-07-2017,0.05,1,0
6420014,Bright & cosy app. near citycenter,3844707,Rob,,Oostelijk Havengebied - Indische Buurt,52.36521,4.93447,Entire home/apt,120,3,15,09-12-2017,0.25,1,0
6422527,Cozy apartment at a great location,33047779,Daniël & Lai,,Oud-Oost,52.35763,4.91065,Entire home/apt,139,20,5,30-09-2016,0.08,1,0
6423150,Spacious apartment in Amsterdam,33510643,Willem,,Westerpark,52.37464,4.87443,Entire home/apt,1150,2,3,30-03-2016,0.05,1,0
6424302,"Loft - family house, with garden",22208651,Sabine,,Centrum-Oost,52.37099,4.93025,Entire home/apt,230,4,9,23-10-2018,0.16,1,0
