"Country or Area","Year","Value"
"Cyprus","2013","7843.02642665768"
"Cyprus","2012","8561.12816098376"
"Cyprus","2011","9101.56211196444"
"Cyprus","2010","9458.76979127914"
"Cyprus","2009","9775.35090531683"
"Cyprus","2008","10028.4510826084"
"Cyprus","2007","9881.22025774554"
"Cyprus","2006","9542.63952872352"
"Cyprus","2005","9333.44430295285"
"Cyprus","2004","9141.64330955495"
"Cyprus","2003","8940.286005337"
"Cyprus","2002","8551.86852397462"
"Cyprus","2001","8326.27512915531"
"Cyprus","2000","8386.5043644085"
"Cyprus","1999","8128.098125951"
"Cyprus","1998","7860.11360400801"
"Cyprus","1997","7531.72627586513"
"Cyprus","1996","7442.11875919643"
"Cyprus","1995","7095.55375160071"
"Cyprus","1994","7151.98402502473"
"Cyprus","1993","6898.56457632919"
"Cyprus","1992","6616.17394423585"
"Cyprus","1991","6183.14709693362"
"Cyprus","1990","5668.85258929381"
"Czechia","2017","128675.046758733"
"Czechia","2016","129756.684339864"
"Czechia","2015","127777.826070914"
"Czechia","2014","126758.462104978"
"Czechia","2013","128691.098656356"
"Czechia","2012","133697.714737607"
"Czechia","2011","137753.143775587"
"Czechia","2010","139733.690550954"
"Czechia","2009","137214.51935273"
"Czechia","2008","145614.293000234"
"Czechia","2007","150336.764773055"
"Czechia","2006","148598.758002325"
"Czechia","2005","147494.144254281"
"Czechia","2004","149624.671492104"
"Czechia","2003","148758.853523425"
"Czechia","2002","145505.518453234"
"Czechia","2001","149096.972913681"
"Czechia","2000","149333.519871155"
"Czechia","1999","139448.477561187"
"Czechia","1998","148998.235615398"
"Czechia","1997","155160.049481473"
"Czechia","1996","159770.065100151"
"Czechia","1995","156717.543066155"
"Czechia","1994","157517.669679357"
"Czechia","1993","165018.181810672"
"Czechia","1992","172686.941688106"
"Czechia","1991","179181.862713215"
"Czechia","1990","197392.704119819"
"Denmark","2017","49225.6414834494"
"Denmark","2016","51297.7372153772"
"Denmark","2015","49253.8533877321"
"Denmark","2014","51870.7988014991"
"Denmark","2013","56021.3660115959"
"Denmark","2012","54334.565515671"
"Denmark","2011","58946.94016923"
"Denmark","2010","64178.3898033698"
"Denmark","2009","63875.914437598"
"Denmark","2008","66656.5312951215"
"Denmark","2007","70293.3142495525"
"Denmark","2006","74858.9734996958"
"Denmark","2005","67090.8675339292"
"Denmark","2004","71510.992872569"
"Denmark","2003","77644.9675538145"
"Denmark","2002","72590.3831710362"
"Denmark","2001","73066.2466634149"
"Denmark","2000","71367.5885969682"
"Denmark","1999","75672.1333036437"
"Denmark","1998","78076.8333405487"
"Denmark","1997","82058.4586854458"
"Denmark","1996","91499.9110955479"
"Denmark","1995","78332.1223385895"
"Denmark","1994","81266.9279459393"
"Denmark","1993","77370.3509281203"
"Denmark","1992","75165.4709111901"
"Denmark","1991","81145.7426479035"
"Denmark","1990","70515.4364007722"
"Estonia","2017","20879.8789305092"
"Estonia","2016","19664.9740030705"
"Estonia","2015","18126.6993974497"
"Estonia","2014","21147.3795410388"
"Estonia","2013","21941.9070304424"
"Estonia","2012","20170.8500206543"
"Estonia","2011","21258.9330513225"
"Estonia","2010","21213.6743916684"
"Estonia","2009","16757.9254300415"
"Estonia","2008","20046.1430902016"
"Estonia","2007","22224.6853023012"
"Estonia","2006","18498.0489347941"
"Estonia","2005","19203.2389553134"
"Estonia","2004","19374.7357325912"
"Estonia","2003","19110.045764877"
"Estonia","2002","17221.1916890992"
"Estonia","2001","17760.3508861953"
"Estonia","2000","17359.6162794649"
"Estonia","1999","17651.9959162568"
"Estonia","1998","18995.5566650803"
"Estonia","1997","20584.7238277463"
"Estonia","1996","20960.1716077117"
"Estonia","1995","20258.5457858406"
"Estonia","1994","22058.7426532967"
"Estonia","1993","21350.7407639851"
"Estonia","1992","27292.1301685868"
"Estonia","1991","37283.6556960068"
"Estonia","1990","40431.5076969454"
"European Union","2017","4323163.15129724"
"European Union","2016","4303391.86932903"
"European Union","2015","4327313.20315756"
"European Union","2014","4297635.76767634"
"European Union","2013","4468920.46246092"
"European Union","2012","4563064.70686337"
"European Union","2011","4626382.21402597"
"European Union","2010","4783627.78508711"
"European Union","2009","4681900.46015643"
"European Union","2008","5046999.42857922"
"European Union","2007","5162425.24769725"
"European Union","2006","5214524.885933"
"European Union","2005","5228428.61909226"
"European Union","2004","5265368.64841412"
"European Union","2003","5265582.68508715"
"European Union","2002","5182922.83701885"
"European Union","2001","5223118.40954241"
"European Union","2000","5168911.90268119"
"European Union","1999","5172643.92202765"
"European Union","1998","5281519.48166372"
"European Union","1997","5326316.82367958"
"European Union","1996","5418671.89171297"
"European Union","1995","5308543.99663685"
"European Union","1994","5255297.26627382"
"European Union","1993","5281540.38977829"
"European Union","1992","5379830.54313405"
"European Union","1991","5555045.94532683"
"European Union","1990","5649529.341938"
"Finland","2017","55334.1338451499"
"Finland","2016","58044.3089552883"
"Finland","2015","55122.8520517171"
"Finland","2014","58733.066688802"
"Finland","2013","62893.8280484173"
"Finland","2012","62415.2069040588"
"Finland","2011","67805.3011157322"
"Finland","2010","75626.9667421394"
"Finland","2009","67804.0418044474"
"Finland","2008","71399.3090040211"
"Finland","2007","79513.2857600744"
"Finland","2006","81174.1847050522"
"Finland","2005","69812.8970765205"
"Finland","2004","81841.152554879"
"Finland","2003","85531.911506714"
"Finland","2002","77946.6707860203"
"Finland","2001","75490.2997029353"
"Finland","2000","70129.8215566361"
"Finland","1999","71981.4740601945"
"Finland","1998","72566.2048494561"
"Finland","1997","76255.5041267451"
"Finland","1996","77674.7641251509"
"Finland","1995","71788.1585143402"
"Finland","1994","75345.9128299533"
"Finland","1993","69727.6330346408"
"Finland","1992","67468.0485723826"
"Finland","1991","68905.0307142655"
"Finland","1990","71133.0094831229"
"France","2017","471028.185305314"
"France","2016","467622.112232156"
"France","2015","466384.614761895"
